Data;Categoria;Quantidade;Valor
28/12/2023;Despesa;22;3,648,19
11/01/2023;Receita;87;1,222,89
14/07/2023;Receita;85;1,612,07
15/10/2024;Receita;88;2,376,56
07/06/2024;Despesa;22;1,236,91
01/12/2024;Receita;67;3,306,96
27/03/2023;Despesa;37;1,567,50
05/07/2024;Despesa;26;2,858,82
16/04/2023;Despesa;50;3,111,45
03/03/2023;Receita;40;4,816,94
21/09/2024;Despesa;26;2,087,46
02/10/2024;Despesa;61;2,554,36
06/11/2023;Despesa;52;1,914,92
11/08/2024;Despesa;46;2,877,79
15/09/2024;Receita;45;1,857,85
29/01/2024;Receita;68;2,411,87
15/02/2024;Receita;45;1,219,18
12/12/2024;Receita;84;2,976,01
14/12/2023;Receita;26;4,723,90
25/02/2024;Despesa;84;3,629,24
29/07/2023;Despesa;28;4,577,78
19/11/2024;Receita;23;1,434,56
29/04/2023;Despesa;80;1,473,25
30/04/2023;Receita;64;1,411,74
20/06/2023;Despesa;43;3,414,31
01/05/2024;Receita;80;1,905,21
14/10/2023;Receita;96;1,937,53
19/09/2023;Receita;22;1,131,92
18/10/2024;Despesa;70;4,533,42
25/03/2023;Despesa;33;4,614,88
07/09/2024;Receita;32;4,820,86
07/06/2024;Receita;50;2,525,90
19/09/2023;Despesa;61;1,305,25
18/02/2023;Receita;48;4,168,35
27/11/2023;Receita;88;1,195,98
18/12/2023;Receita;22;2,971,37
12/12/2023;Despesa;57;3,513,83
03/03/2024;Receita;25;3,125,87
26/09/2023;Despesa;94;3,976,01
02/03/2023;Receita;24;2,188,82
02/08/2023;Receita;44;4,911,26
28/07/2023;Receita;41;3,807,47
09/12/2024;Receita;90;3,475,16
20/07/2024;Receita;86;4,051,40
09/10/2024;Receita;59;4,263,32
05/03/2024;Receita;40;1,704,06
14/04/2024;Receita;53;2,037,60
16/06/2023;Despesa;54;3,503,52
17/12/2023;Receita;38;2,116,29
09/10/2024;Receita;89;3,501,05
21/12/2023;Receita;69;3,228,10
30/07/2024;Receita;29;2,200,28
28/05/2024;Receita;30;4,302,51
23/10/2024;Despesa;41;3,376,26
16/03/2024;Despesa;97;2,097,83
27/01/2024;Receita;85;1,394,03
20/08/2024;Despesa;41;1,441,73
27/02/2024;Receita;79;1,762,45
14/06/2023;Despesa;100;2,163,94
27/10/2023;Receita;82;4,711,73
04/03/2024;Receita;60;4,433,22
22/05/2024;Despesa;51;1,938,27
24/11/2023;Despesa;50;1,327,44
28/08/2023;Despesa;67;3,462,11
19/07/2024;Receita;51;1,772,52
13/01/2023;Receita;82;2,277,07
23/11/2024;Receita;69;2,777,07
16/07/2024;Despesa;71;2,221,47
10/08/2024;Receita;92;2,282,19
14/04/2024;Receita;82;1,016,93
09/12/2023;Receita;78;1,592,18
17/08/2023;Receita;29;4,385,07
01/10/2023;Despesa;83;1,132,05
26/12/2024;Despesa;79;4,354,51
07/04/2023;Receita;89;1,583,04
11/07/2024;Despesa;55;2,949,86
15/08/2024;Receita;97;2,092,95
23/01/2023;Receita;32;2,536,01
26/09/2023;Receita;73;2,789,41
20/08/2023;Receita;47;2,180,83
03/03/2024;Receita;34;2,865,74
21/07/2023;Receita;21;3,029,53
19/12/2024;Receita;54;4,739,16
03/08/2024;Despesa;69;2,167,43
01/10/2024;Receita;33;1,669,07
22/09/2024;Despesa;30;3,518,42
09/11/2023;Receita;54;4,643,06
23/10/2023;Receita;76;3,528,98
12/04/2024;Receita;27;1,606,06
23/05/2024;Receita;77;1,564,69
14/01/2023;Despesa;40;1,377,71
07/11/2024;Despesa;79;4,375,87
17/02/2023;Receita;64;2,148,07
03/02/2024;Receita;26;3,344,26
12/11/2024;Receita;51;3,769,04
25/12/2024;Despesa;64;1,158,87
22/03/2024;Despesa;66;2,780,55
31/01/2023;Despesa;39;1,237,22
10/07/2023;Receita;41;3,572,52
18/12/2024;Despesa;71;1,765,39
21/08/2024;Despesa;96;3,476,32
07/02/2024;Despesa;95;1,027,05
17/05/2023;Receita;49;3,443,94
24/02/2024;Despesa;91;1,188,69
26/07/2023;Despesa;34;4,087,55
22/04/2023;Despesa;72;3,864,46
09/05/2023;Receita;58;2,888,95
05/10/2023;Despesa;55;4,329,21
25/01/2023;Despesa;94;1,192,56
05/01/2023;Despesa;36;4,726,79
04/08/2023;Receita;33;2,704,73
29/10/2024;Despesa;91;3,439,34
01/05/2024;Receita;87;4,766,45
06/02/2023;Receita;65;2,281,33
20/11/2024;Despesa;33;4,618,00
05/10/2024;Despesa;65;2,722,07
07/10/2023;Despesa;51;3,524,25
24/02/2024;Receita;48;3,267,47
29/02/2024;Receita;81;3,689,95
12/08/2024;Despesa;55;3,661,23
13/01/2024;Despesa;55;1,849,14
24/06/2023;Despesa;34;1,004,01
20/10/2024;Receita;72;1,733,09
23/04/2024;Receita;62;4,989,76
16/11/2024;Receita;86;3,205,13
22/07/2023;Despesa;42;1,926,07
18/06/2024;Despesa;23;3,033,51
30/12/2024;Receita;34;4,887,12
20/02/2024;Despesa;76;2,235,98
06/08/2024;Receita;84;3,053,82
08/08/2024;Despesa;36;1,451,71
31/01/2023;Despesa;71;3,069,83
17/11/2024;Receita;77;3,771,69
21/01/2024;Receita;62;3,942,87
08/12/2024;Receita;56;1,739,44
15/05/2023;Receita;97;3,380,51
11/11/2023;Despesa;66;4,213,71
16/12/2023;Despesa;87;2,031,55
25/08/2024;Receita;58;1,115,77
26/09/2023;Receita;41;2,860,64
05/06/2024;Receita;88;3,170,39
23/10/2023;Despesa;23;1,248,38
18/08/2024;Receita;20;2,056,71
13/09/2024;Receita;64;3,351,50
04/10/2023;Despesa;70;3,501,42
13/05/2023;Receita;60;4,810,03
23/11/2023;Despesa;51;3,388,38
15/01/2024;Despesa;26;4,980,52
17/11/2024;Receita;24;3,444,35
08/05/2024;Receita;85;3,633,86
30/07/2024;Receita;24;4,563,22
23/11/2023;Despesa;21;4,931,11
19/02/2023;Receita;25;4,174,77
08/05/2024;Despesa;52;2,919,52
11/05/2023;Despesa;87;4,405,86
17/09/2023;Receita;25;3,166,73
25/04/2024;Despesa;97;2,289,21
31/08/2023;Despesa;25;3,101,09
04/12/2024;Receita;59;2,682,48
15/08/2023;Despesa;58;4,324,73
15/01/2023;Despesa;44;2,814,80
20/10/2023;Despesa;91;4,769,49
17/10/2023;Despesa;25;3,939,05
14/01/2023;Despesa;30;1,981,30
29/04/2024;Receita;95;2,409,52
20/02/2024;Despesa;84;1,970,79
07/04/2024;Receita;74;3,441,39
19/07/2023;Despesa;33;1,875,84
31/01/2024;Receita;73;4,688,18
13/01/2024;Despesa;80;4,479,20
01/10/2024;Receita;72;4,542,49
05/06/2024;Receita;24;3,429,96
09/10/2024;Receita;29;4,060,55
06/08/2024;Despesa;37;3,151,46
08/03/2023;Despesa;35;2,184,47
16/10/2024;Despesa;73;1,202,22
14/05/2023;Receita;74;1,691,40
10/11/2024;Receita;43;1,984,15
30/06/2023;Receita;98;3,763,13
14/03/2024;Despesa;97;4,123,81
15/11/2024;Despesa;60;4,787,46
28/03/2024;Despesa;27;2,115,19
18/03/2023;Receita;98;3,743,38
05/08/2024;Despesa;94;2,634,14
30/07/2023;Receita;20;1,511,39
13/05/2024;Receita;64;4,894,62
14/06/2024;Receita;76;4,213,42
12/01/2023;Receita;91;4,597,24
06/10/2023;Receita;76;3,579,03
11/05/2024;Receita;50;3,042,04
14/01/2024;Despesa;90;2,051,62
29/08/2024;Despesa;82;3,313,67
24/01/2023;Receita;43;2,063,01
15/04/2023;Despesa;34;4,731,42
19/11/2023;Receita;56;2,234,29
02/04/2024;Receita;61;3,779,67
21/05/2024;Receita;41;1,086,74
28/07/2024;Receita;73;1,776,23
11/02/2023;Despesa;45;1,420,77
26/10/2023;Despesa;60;1,930,24
28/12/2024;Receita;90;4,177,22
18/11/2023;Despesa;66;3,754,82
05/12/2023;Despesa;97;1,117,49
25/06/2023;Despesa;85;2,382,37
17/05/2023;Receita;28;1,003,98
24/02/2023;Receita;93;4,603,26
02/02/2024;Despesa;23;4,633,38
06/09/2023;Despesa;80;3,280,89
15/01/2024;Receita;85;4,933,62
03/11/2024;Receita;76;2,231,90
09/03/2023;Despesa;25;1,442,19
07/08/2023;Receita;55;4,752,72
09/09/2023;Receita;79;3,628,33
09/08/2024;Receita;73;4,891,49
22/01/2023;Despesa;85;2,103,55
19/06/2023;Receita;62;4,304,00
30/10/2023;Despesa;85;2,282,05
09/08/2024;Despesa;76;3,741,48
22/04/2024;Receita;93;4,584,02
28/10/2024;Receita;72;2,365,03
25/08/2024;Receita;80;3,072,49
01/03/2023;Receita;79;1,588,54
01/08/2023;Despesa;53;2,592,29
06/03/2024;Despesa;27;3,257,12
05/10/2024;Despesa;73;4,891,68
24/04/2024;Despesa;38;4,727,06
12/08/2023;Receita;33;4,508,97
22/08/2023;Despesa;75;3,394,12
19/03/2024;Receita;93;3,150,87
10/02/2024;Despesa;48;3,414,55
25/09/2024;Receita;20;4,053,38
27/07/2024;Receita;99;3,208,63
16/07/2024;Despesa;30;2,652,77
07/10/2023;Receita;94;3,315,38
17/06/2023;Despesa;86;1,745,27
05/09/2023;Despesa;40;1,961,37
30/01/2024;Receita;75;1,281,73
24/04/2024;Receita;78;1,769,35
30/06/2023;Receita;30;1,096,81
07/03/2024;Despesa;88;2,541,33
06/04/2023;Despesa;31;4,617,17
01/07/2024;Receita;73;3,983,84
06/04/2023;Receita;23;4,129,23
30/10/2023;Receita;49;1,885,23
03/08/2024;Receita;83;1,120,71
30/09/2023;Despesa;55;4,226,04
30/05/2024;Despesa;38;2,292,68
07/11/2024;Receita;37;2,605,20
02/02/2023;Receita;47;4,656,54
26/09/2024;Receita;38;4,534,36
20/02/2024;Receita;74;1,164,92
06/12/2024;Despesa;36;1,910,99
22/01/2023;Receita;69;1,482,46
30/05/2024;Despesa;67;2,840,78
08/07/2023;Despesa;87;1,744,33
25/01/2023;Despesa;83;2,110,68
28/03/2023;Despesa;43;2,874,82
24/09/2023;Despesa;55;4,551,56
12/10/2023;Despesa;83;1,878,35
06/10/2024;Receita;46;2,424,11
15/11/2024;Receita;26;1,311,43
18/01/2023;Despesa;22;3,479,67
08/11/2023;Receita;67;1,346,96
15/03/2024;Receita;48;4,624,48
13/02/2023;Receita;81;1,941,14
02/01/2023;Receita;92;1,735,12
09/11/2023;Receita;52;2,483,55
17/10/2023;Despesa;34;4,673,67
22/05/2023;Despesa;88;1,535,92
19/01/2023;Despesa;75;1,752,53
01/04/2024;Receita;97;2,060,11
15/09/2024;Despesa;100;4,419,30
18/01/2023;Receita;35;2,166,62
12/08/2023;Receita;92;1,831,69
03/11/2024;Receita;42;4,095,04
03/09/2023;Despesa;62;4,293,60
09/08/2024;Receita;27;1,845,26
14/08/2024;Despesa;52;2,113,36
24/04/2024;Despesa;75;1,642,20
02/04/2024;Receita;44;4,613,23
09/02/2024;Receita;50;2,987,55
06/06/2023;Receita;56;3,494,99
03/12/2023;Receita;53;1,057,89
13/03/2023;Despesa;96;1,997,02
